feature,adjust,hold,lift,other,place,press,rotate,Mean_Importance
y_2,0.0010282360101420268,0.0007890845884405673,0.0020202447773701045,0.0014246481148100015,0.00013244369921835503,6.574168200669814e-05,0.017253095438818658,0.0032447849015437734
x_17,0.0005384697542405072,0.001156760631821076,0.006922744396537604,0.0022953681455828243,0.0002175002592439173,0.00027850234993077004,0.010879972427539169,0.0031841882806994096
x_8_mean_5,0.0008784865155155877,0.0013306813725837948,0.0013162222596363859,0.0011590812453492224,0.005606017355052984,0.0006596337026008283,0.011311726956856958,0.003180264201085109
y_1_std_5,0.001151598298407987,0.0036431438376595317,4.684454898589175e-05,0.0066946319466865585,0.0005578247337273329,0.00732878627706271,0.002831417461295274,0.003179178157689327
lmk_1_speed_mean_5,0.0015577730855959931,0.0023629333860424265,0.0023386859871153526,0.005267646002381377,0.0003196555104152016,0.007552000339369475,0.0016268787080459415,0.0030036532884236814
lmk_18_speed_mean_5,0.0013933044207495226,0.010644507433784332,0.006559632169046887,0.0003014291085743113,0.0005477437232552103,0.00011067402899236334,0.0011128044524844494,0.002952870762412439
lmk_16_speed,0.00010881266449469245,0.0007521513175903583,0.0005161546033985201,0.0037640572981687097,0.00015298268174764596,0.01485205845555717,0.0004274346720203011,0.0029390930989967707
y_13_std_5,0.0007712561224377379,0.002118410503256927,0.0005054560479231647,0.005346749446649075,0.0006994656957883543,0.007675459065700115,0.002882400809606826,0.0028570282416231713
x_14_std_5,0.000778612145673507,0.004083984722980894,7.41512960847021e-05,0.001151866660405753,0.011805114158514473,0.0002642125318395428,0.001818128971383209,0.0028537243552688688
z_19_std_5,0.000393011525736544,0.015536072890601115,0.00026069601932607154,0.0007061827636201692,0.0006414002586657996,0.0002999251881117393,0.0019285688590920025,0.002823693929307635
y_2_mean_5,0.0007443488530974167,0.0008101913831380596,6.667218541248882e-05,0.0015954590520873505,0.0005331271002589036,0.0008208360358538454,0.014728164011205518,0.002756971231579083
lmk_1_speed,0.0007947524363873896,0.000575975850178692,3.4715215354190225e-05,0.0002711325509383749,0.00012464140870272652,0.007793486146365305,0.009655634451026037,0.0027500482941361024
x_9,0.0002964272152039887,0.000904610716821267,0.0004269598784300927,0.0009581694948385563,0.00040997979570097477,0.00014052138977832393,0.01611224315457719,0.002749844520764342
x_20,5.3685506235995525e-05,0.0019765180049130873,0.0016141739732475988,0.00038783084727684323,0.00259963843338101,0.0002332287782374902,0.011855327469992677,0.0026743432876121004
lmk_5_speed,0.0004272707151066136,0.0005429248748164087,0.0005287976042677567,0.00014288160725094124,0.0005517396509201015,0.015060048636296812,0.0012015381479495166,0.0026364573195154497
y_8,0.0011261731045129075,0.00038731854282342883,0.00037541887509164295,0.013302844361084617,5.288950305879794e-05,0.00016690987110941642,0.0029689912336726475,0.0026257922130504944
x_4,0.0009684366982818286,0.0008584197330790952,0.0006629292549141659,0.007782376644990982,0.0011020780565349634,0.00043588228752712164,0.006494327520796654,0.0026149214565892587
lmk_19_speed,0.0005533549609970009,0.0016141223783509762,0.00010813315047000826,0.0003131937641481466,0.0002949544713432938,0.015009076572507914,0.0003304579302214825,0.002603327604005546
z_4,0.000616543832125669,0.0004223084745961828,0.0048955541893184705,0.0010193116585717494,0.010081743181282854,2.8383323510378336e-05,0.001146471324032936,0.0026014737119197484
lmk_8_speed_mean_5,0.0037095050553020326,0.01016133553993301,0.0004120368978613323,0.0005656330139066755,0.0008302768737609638,0.00019367110368233618,0.0018156747680171015,0.00252687617892335
z_1_std_5,0.0015399154945512177,0.003428516557351149,0.003028064052226428,0.0022176597013641316,0.003281513066023442,9.50439135140048e-05,0.004076214541806651,0.002523846760976718
lmk_13_speed_mean_5,0.002524440763009585,0.0008987444540780247,0.003298187147789779,0.0005983709475138331,0.0004864713677768304,0.007524050662592869,0.0022654408733960023,0.002513672316593846
y_14,0.00039718191935231447,0.0015368664242138236,0.00023260970404499884,0.0023482784837014666,0.00032638514014821026,0.00031398866378541733,0.011417173075964293,0.0023674976301729317
lmk_10_speed,0.00010518794712582188,0.0011121196281630463,2.5293215869278694e-05,5.436417516035059e-05,0.00019522223423292228,0.014432177321099639,0.0005964301485823439,0.0023601135243190574
z_5_mean_5,0.0010579841523155424,0.0013302774234154446,0.009516460002845289,0.000823161683804097,0.0009531788300479319,0.0010820869205573078,0.0012827256860243426,0.00229226781414428
x_12_mean_5,0.0007351327285398606,0.0035606009007081553,0.003017190384880829,0.003992197294081821,0.0023019643791481084,0.0002456716332427101,0.00216623016253523,0.0022884267833052454
